text,label
"Hanya membuat masalah baru, sebaiknya tutup pintu bagi pengungsi afganistan untuk indonesia,negeri ini sedang dlm bencana covid,yg berdampak memporak porandakan seluruh perekonomian,apa untungnya menerima teroris pembawa masalah yg hanya akn membuat ki… Lihat Selengkapnya",0
se7,1
jngn lupa china juga tutup untuk msuk Indonesia,0
Sakit hati berjaMAAh,0
Sok bijak,0
Coba kita berkaca dgn Brunei Darussalam koq bsa mereka 0% covid,0
"ingat juga bung, Indonesia negara Luas, Mana mungkin 34 provinsi bisa Terdampak Covid ?? Klo lewat dana covid, saya percaya .",0
Ini orng gila teroris kali ya...pikirin ini kpan ppkm colorema selsau... Peraasaan nyambung mele udh kaya jalan raya jonggol,0
u buang ajaa ke kambangann lagii baguuss dripada buat onarrr,0
"Dimana manusia hanya respek dgan golonganya, sukunya, rasnya kelompoknya, sehinga meremehkan yg d luarnya,  Akibatnya dia merasa kesulitan, takut saat menjadi minoritas , atw d luar kelompoknya.  Jadilah rakyat yg baik jiwa sosialnya, menghargai sesa… Lihat Selengkapnya",2
".Teknologi Jauh,Kreatifitas Nol.,Gak Ada Ambilan nya..Bikin Ruwet NKRi aja Yang Lagi Mau Jadi Negara Berkembang..",0
"Yg jd masalah pencari suaka selama ini yg jamin hidup mereka siapa...ya negara,smntra kondisi kita terpuruk dlm sgl hal  apa masih berpikir tuk jd pahlawan kesiangan bagi warga negara lain... mimpi disiang bolong",2
,0
itu orang di kasih hati minta jantung..teroris entar bnyak di Indonesia,0
Indonesia kenapa mau terima mereka sih.rakyat sendiri menjerit akibat pandemi,0
betul kenapa nkri harus patuh dan tunduk pengungsi hajar saja mereka,0
"sebagai tamu WNA,,harus tahu diri,,,mematuhi prosedur hukum diNKRI,jangan seenack jidat anda kami rakyat nkri  msi berkabung mengatasi  covid 19 dengan mematuhi protokol kesehatan ,anda sebagai pendatang seenacknya aja menggelar demo ,berkerumunan. dim… Lihat Selengkapnya",0
Seperti memelihara anak macan jadinya semakin besar tuannya bisa dimakan,1
"Itu ada pen demo dari Afganistan hrsnya di tangkep dulu pak polis serahkan pimigrasi dll ,karna masih dlm PPKm masarakat masih ber hati 2 takut ketularan kok itu bebas se. X tugas siapa yg demo ,2 unjuk rasa masih ganas cofid  ntar  ga ilang 2 cofid ka… Lihat Selengkapnya",0
"Harus dipulangkan kenegaranya, ini pasti ada yang berkepentingan maunya seperti ini",1
Rakyat nya pribumi sndiri aja masih pontang panting ngk ke urus gara2 PPKM.. Ee malah dibuat nampung orng2 sprti itu..ud balikin aja ke asal nya.. Entar dikerasi HAM keluar..udah balikin ke negara nya itu pakde...buat gaduh aja,0
Udah gk ada takutnya dinegara orang maen demo2 segala...klo di negaranya aslinya sana langsung di dor orng kyak gini.,0
"Haduh itu sangat beresiko kl sdh ky gitu rawan penyusup,  itulah watak mereka, liar",0
Itu org tidak tahu diuntung uda tinggl disini kok demo lagi pak,0
"Saya saja hidup masih ngontrak, situ maunya seenaknya sendiri di negara orang",0
kami yang jelas2 WNI dari lahir saja masih belom ada kejelasan dari negara,0
Penggemar BeratKalo sdh bengiini apalah artinya 3 M.,0
ada bos makan minum mabok buat mentri yg tidak bisa memgemban amanh rakyat,0
Penggemar Berat . Wkwkkwkq.... betul kui makna me 3 m...,0
"Tangkap tendang balik ke kandangnya,nih para kerok bisa di manfaatin sama biang kerok,hati2 boss!",0
Knp tidak di pulangin ke negara asalnya daripada bikin ricuh di Indonesia.,1
Kembalikan ke Negara asalnya..,1
