text,label
anis bikin suratnya diemkan up media sensi ,1
god bless lee ,2
bangga banget sm lele ,2
mengdata bansos tunai ,1
sukses ko leo ,2
jakarta bu ,1
bingung wan aibondata2 masyarakat dki ngk updatekemane aje wan ,0
haii up ku nungguin ,1
,1
okey banggh ,1
yokss semangat pendidikan indonesiajangan pikirkan kegagalan pikirkanlah lakukan semangatt ,2
nya hukuman mati korupsi uang bansos rakyat kecilyg kelaparan rela antri uang bansos makan ,0
warga flores ende mengakui pengucapan leo logat timurflores nilai lokal sekallii lele ,2
,0
kriteria bansos orang dapattanyakan rt ,1
mottonye sih bageteow alumnus amrik kinerje jiplak salah artinye kalu kerjanye selame kepale daerah ntu bohongin rakyat juge bohongin pemerinteh pusatsihh ,0
lele keren ,2
sampean g bicara takutnya kena ,1
bokereh ribut kebauan tai nya eh skr suruh orang cebokin plus siramkan tai ny ahli nya lepas tangan ,0
rt kekelurah lurah kecamatan kecamatan pemerintah daerah ,1
suka lele dibanding youtuber muda iya niinii ,2
nope bu risma nyindir nya tolong iya media bikin narasi memecah belah opini masyarakatuntung lihat video nya ,2
semoga pemerintah daerah menonton ,2
om indo koruptor hukumannya dipotong massa tahananmana korupsi nya gede m ,0
turah dubes rusia ,2
sehat iya ,2
maju loh gubernurnya seiman coba wkwkwk ,1
god bless you ,2
idealnya dasar hukum menggerakkan aparat tupoksi capil dinsos statistik pemdapemrov masingmasing tetep data ditangannya didata ngabisin dana miliaran data statistik pajangan ,2
data ganda nerima bst cair atm dki ,1
hahaha data ganda ,1
lucu banget bapaknya semoga lulus hihi ,2
aahh buzzer ,0
ktp kakak dki bansosblt dsbpedahal ngarep banget budapat bantuan pemerintahapalagi cuma buruh pabrik bayar kontrakan biaya hidup ,0
orang floreslabuan bajo ko ,1
mantap ,2
ntaps ,2
penjilat pemerintah ,0
semoga kaya leo aamiin ,1
mangrai barat ohh ,1
up ,1
banget pelajaran diambil keep spirit ko leo ,2
teman hidup kayak ,1
bu risma cocok plt gubernur dkibiar anggaran amburadul diaudit ,2
semangatt makksangat berat beban tanggung pundakmusmg allah swt senantias melindungimu makk ,2
buzer disana komen komenjangan provokatif lukerja buzer ,0
anis kerja beres hasil jelek salah orang ,0
cari celah sllu sllu menyalahkan anies dki bny provisi carut marut data penerima bansos bny salah sasaran ,0
ngerjain data maksud risma revisi data bansos goblok tenan ,0
logatnya ngikutin ,1
im so proud of you kakak hebat kakak ngak pernh rasain hidup susah kya kakak berbagi kisah pengalaman kakak kak semoga kakak sukses memperhatikn orng susah membutuhkan disekitar kakak yh jesus belss you kak ,2
tuhan yesus memberkati sllu lele kerja usahamu ,2
data tny lh rt rw kelurah langsung gubernur si jls mentri ,0
gubernur e ,0
