text,label,,
"Jerome polin: menteri pendidikan
Leonardo edwin: menteri sosial
Lanjut gais<U+0001F604>",2,,
Wkwk<U+0001F62D><U+0001F62D>,0,,
Saya Dommamo Barutu jadi Menteri Kesehatan,1,,
Wehhh mantep nihhh,1,,
Turah dubes rusia,2,,
"@Dommamo Barutu˜ aamiin, semangat ya",2,,
@alzahra bilbilla˜ aamiin,2,,
"bismillah,anis saputri anggota dpr<U+0001F97A><U+0001F64F>",2,,
Ya merka cocok leo jadi menteri sosial dan jerome menteri pendidikan <U+0001F62D><U+0001F44D>,2,,
Turah menteri Kebudayaan,2,,
Mantap jiwa,1,,
"UPDATE:
Donasi telah ditutup pada tanggal 14 Januari 2020. Dana yang terkumpul sebesar Rp67.150.054. Terima kasih banyak semuanya yang sudah membantu, baik dalam bentuk doa maupun donasi. Semoga sehat-sehat selalu yaa! Untuk update tentang proyek ini, silakan cek di highlights Instagram @leo_edw berjudul ""Pak Damianus"".",2,,
"Di pin aja le, biar lebih mudah nyari nya<U+0001F604>",1,,
Siap,1,,
Nitip Rudal raksasa,0,,
@Muhamad Said˜ doa,2,,
Le km kirimnya dari Jakarta atau dari Kupang? Klo dari Kupang aku bisa ikut bantu2 gk? Pingin banget ngerasain misi kemanusiaan,2,,
Pasti papamu bangga sama kamu ko le..anaknya bisa berinisiatif untuk membantu pak damianus..Proud of You<U+2764><U+FE0F>,2,,
@Meyggi Fajar˜ coba cek deskripsi,1,,
:') my impiration,2,,
"Niat mau bantu bang, tapi saya gk pernah ada uang jajan<U+0001F636>",1,,
Waah kereen udah terkumpul lebih dari target...<U+0001F631> Udah 41 jt/31 jt brusan cek.. mantap keren le..,2,,
"gw tersentuh bgt sm gerakan dr leo ini, dia buat proyek kek gini murni dr keinginan sendiri,,,respect, Le. Ini jd inspirasi/ motivasi baru buat gw as a student yg punya fasilitas lbh utk lbh semangat utk belajar lg dan lbh aware kpd org"" sekitar.",2,,
wedehhhh<U+0001F44F><U+0001F44F><U+0001F44F>,0,,
"@husna amalia˜ heh naa,,,wkwkwk",2,,
"Jadi motivasi belajar ko, banyak orang yang berjuang kita yang udah enak masih males malesan aja:v",2,,
<U+0001F622><U+0001F62D>,0,,
"iya weh, kita mah enak bisa rebahan, maen hape, ada kipas ada ac lah sedangkan orang lain aja diluar sana masih susah<U+0001F622><U+0001F622>

merasa tertampar bgt<U+0001F622>",2,,
"Tertampar, terjungkal, terguling, terperosok, tersleding, terbalik, tertonjok<U+0001F62D>",1,,
"Thank you Leo udah mampir di Provinsi saya<U+0001F64F>.
Semoga pendidikan di NTT semakin di perhatikan oleh pemerintah.",2,,
