text,label
pintu bencana terima teror ,0
setuju ,1
jangan masuk indonesia ,0
sakit hati ,0
OOV ,0
coba covid ,0
indonesia negara covid dana covid ,0
teror kali ppkm kaya jalan ,0
saja ,0
dimana manusia kelompok takut kelompok rakyat ,2
rumit negara ,0
suaka hidup untuk pahlawan warga negara ,2
orang kasih hati indonesia ,0
indonesia terima pandemi ,0
patuh hajar ,0
tamu prosedur jidat rakyat masih atasi covid datang ,0
anak ,1
demo tangkap ppkm hati takut tular tugas demo untuk covid hilang ,0
penting ,1
rakyat pribumi pontang panting tidak urus ppkm balik ham balik negara gaduh ,0
orang main demo negara ,0
risiko rawan susup watak ,0
orang demo ,0
hidup situ mau negara orang ,0
wni lahir jelas negara ,0
,0
bos makan minum menteri rakyat ,0
gemar ,0
tangkap tendang kerok biang ,0
pulang negara asal bikin ricuh indonesia ,1
kembali negara ,1
pikir indonesia dimana orang hak penduduk indonesia suka hajar orang ,0
OOV negara imigran ,1
suaka ganti kolam ,0
negara damai suka seperti orang negeri orang ,0
contoh lihat pakai demo hidup ajar rumah rumah ,0
bantu negeri lawan taliban negara negara ,2
bilang negeri suka erti kenapa suka suka  ,0
afghanistan negara hidup lawan  ,1
pak ungsi kadang OOV ,0
langsung bibit bibit teror ,0
kalau bantu bantu ,0
laut makan ,0
belgia imigran demo undang undang negara ganti negara asal demo rumah fasilitas  ,0
aku kesal salah tulang bayar prosedur ,0
nama manusia sadar hati jantung ,0
usir bikin ,0
orang televisi berita situ tonton manusia suka saudara ya seperti ,0
suka tonton ya ,0
ya tonton seperti ,0
itu warga urus rakyat rakyat bantu kasih ,0
belgia orang pakai biang kerok suka bikin uang kerja bayar orang lokal ,0
polisi masyarakat ,0
cari suaka susah ,0
indonesia keras bos wna negara indonesia sopan ,0
OOV ,0
kecuali mata ya ,0
keras orang demo ,0
gemar ,0
keras jongos ,0
bawa uang ,1
negeri cinta negeri produk produk indonesia ,1
negeri cinta progres progres ,1
indonesia pinggir demo bikin ricuh negara pulang lawan ,1
khianat antek antek takut juang taliban ,0
harus wna langsung pakai ,0
taliban susah presiden ,0
polisi indonesia negara cari suaka rakyat indonesia indonesia dan petugas polisi ppkm  ,0
indonesia covid rumah ,0
indonesia garis tambah perahu lepas negara biar teror negara ,0
orang ,0
tawa profesional jajah OOV kasih banget suka teriak teror saudara ,0
lihat kaum indonesia isu berani aparat status berani salah ,1
mau negara ,1
bilang bangsa ,0
ya ,1
 kalau  bukti bikin onar negara  ,0
aparat OOV wna demo demo imigran negara tujuan ,1
cepat wna ,0
lihat bikin daerah ,0
pemerintah ilegal ,0
kaya hidup urus dunia ,0
urus urus ,0
pemerintah sisi manusia hati ,0
urus orang demo suaka begitu ,0
kasih OOV biar cari suaka ya ,0
urus ,0
OOV orang rakyat ,0
OOV ,0
OOV orang OOV ,0
OOV ,0
gemar berat pakai indonesia lancar ,1
penduduk makmur tambah beban negara ,0
langsung pulang urus rakyat pandemi bantu kaya saudi kaya bantu bahaya hidup  ,0
polisi pemerintah negara berani demo negara indonesia ,0
pemerintah cepat tentu sikap manusia manusia dunia negara  ,0
negara OOV ungsi OOV negara usir OOV kandung kriminal ,0
nato ibu imigran bantu nato ,0
pantas damai contoh masyarakat negara berani demo ribut ,0
manusia ya kasih layak kasih makan coba negara takut taliban negara seperti negara maju pulang takut ,2
ya taliban indonesia demo demo bikin negara indonesia ,0
kasih ya hidup coba ,2
ambil ibu rumah ,0
ibu kasih rumah kasih makan biar ibu ,0
bagus orang imigran nato taliban negara nato orang afghanistan  ,0
tampung kirim ,0
