text,label
tutup pintu pengungsi afganistan indonesianegeri bencana covidyg berdampak memporak porandakan perekonomianapa untungnya menerima teroris pembawa akn lihat selengkapnya ,0
setuju ,1
jngn lupa china tutup msuk indonesia ,0
sakit hati berjamaah ,0
sok bijak ,0
coba berkaca brunei darussalam covid ,0
indonesia negara luas provinsi terdampak covid dana covid percaya ,0
orng gila teroris kali yapikirin kpan ppkm colorema selsau peraasaan nyambung mele kaya jalan raya jonggol ,0
buang ajaa kambangann lagii baguuss dripada onarr ,0
dimana manusia respek dgan golonganya sukunya rasnya kelompoknya sehinga meremehkan luarnya akibatnya kesulitan takut minoritas atw kelompoknya rakyat jiwa sosialnya menghargai lihat selengkapnya ,2
teknologi jauhkreatifitas nolgak ambilan nyabikin ruwet nkri negara berkembang ,0
pencari suaka jamin hidup siapaya negarasmntra kondisi terpuruk sgl berpikir tuk pahlawan kesiangan warga negara mimpi disiang bolong ,2
orang kasih hati jantungteroris bnyak indonesia ,0
indonesia terima sihrakyat menjerit akibat pandemi ,0
nkri patuh tunduk pengungsi hajar ,0
tamu wnaharus dirimematuhi prosedur hukum dinkrijangan seenack jidat rakyat nkri msi berkabung mengatasi covid mematuhi protokol kesehatan pendatang seenacknya menggelar demo berkerumunan lihat selengkapnya ,0
memelihara anak macan tuannya dimakan ,1
pen demo afganistan hrsnya tangkep polis serahkan pimigrasi ppkm masarakat ber hati takut ketularan bebas x tugas demo unjuk ganas cofid hilang cofid lihat selengkapnya ,0
dipulangkan kenegaranya berkepentingan maunya ,1
rakyat nya pribumi pontang panting ngk urus gara2 ppkm ee nampung orng2 ituud balikin nya dikerasi ham keluarudah balikin negara nya pakdebuat gaduh ,0
takutnya dinegara orang main demo2 segalaklo negaranya aslinya langsung dor orng kyak ,0
haduh beresiko rawan penyusup watak liar ,0
orang diuntung tinggl demo ,0
hidup ngontrak situ maunya negara orang ,0
jelas2 wni lahir kejelasan negara ,0
penggemar beratkalo bengiini apalah m ,0
bos makan minum mabok mentri memgemban amanh rakyat ,0
penggemar berat wkwkkwkq kui makna me m ,0
tangkap tendang kandangnyanih kerok manfaatin biang kerokhati2 boss ,0
pulangin negara asalnya bikin ricuh indonesia ,1
kembalikan negara asalnya ,1
pikir indonesia jerman dimana orang asing hak penduduk aslinyablom indonesia suka hajar menghajar dak sukabeda jerman diemliat orang asing negaranyaklo imigran membunuh ending lihat selengkapnya ,0
jerman kebanyakan negara eropa lemah memanfaatkan kelemahan imigrancalon imigran ,1
benarpara pencari suaka kebanyak tolongtak dirimalah berbuat senonohgrepe2para wanitangintip2di ruang ganti bajudi kolam renangpokoknyenyebelinsaya ajayg migran jerman inisangat lihat selengkapnya ,0
buang negara er negrinya damai suka perang saudaraprilakunya kayak orang berpendidikan negri orang ,0
contoh lanlah lihat kelakuannya pakai demo numpang hidup sementarapengungsi ajar rumah ente kedatangan nginsp dirumah ente ente biarin mikir ,0
pahami maksud koment ,0
bantuan negeri melawan taliban pingin merubah negara negara demokrasi lucunya nuntut jerman kejadian bilang jerman mencampakkan lihat selengkapnya ,2
mademasmasmas bilang negri suka perangdisini pengungsiyg mengerti knapa afganistn dibilang suka perangyg suka perang amerikabuktinya vietnam diperangiirak diperangikorea utara diperangijepang lihat selengkapnya ,0
afghanistan nyataliban pingin negaranya hidup kalifah nya pingin hidup demokrasitapi perangnya kuat indonesiadimana dlo bersatu padu melawan pingin ubah lihat selengkapnya ,1
bang maksud teman2 inti nya mengungsi rusuh nuntut tinggal kadang beol kali kebon enak nya menuntut suruh beol kali ciliwung lihat selengkapnya ,0
langsung bibit bibit teroris afganistan ,0
klu amerika mencampuri membutuhkan bantuan gkkan bantu ,0
buang laut makan hiu ,0
hebat jerman belanda swiss belgia swedia canada imigran demo undang undang negara ganti sistem ideologi hindari negara asalnya demo rumah fasilitas lihat selengkapnya ,0
eajujur q kesel jugakarena q salah banting tulang bayar pajakmereka nikmati prosedur berteletele ,0
namanya manusia sadar diridh dikasi hati mintak jantung ,0
diusir bikin ulahnanti merepotkanlain hslnya ,0
orang nonta tv baca berita situ nonton flm kartun penjajahan perdamaian manusia suka perang saudara iya kayak kelakoanya ,0
suka nonton kerasukan iya ,0
iya nonton wajah kayak siluman bicara wajah nampak ,0
dekembalikan j tu warga afganistang ladenianda ckup ngurusi rakyat j makmurkanmsih rakyatnya btuh bantuan negaraterima kasih ,0
belgia orang ginianen rasis pakai senjata biang kerok suka bikin rusuhjorokkasar uang pemerinta kerja en bayar pajak wajar orang lokal suka sm en lihat selengkapnya ,0
polisi usir masyarakat usir ,0
cari suaka ko reng indonesiasini susah ,0
indonesia keras boss wna aneh2 tinggal negara indonesia sopan santun am ,0
ung kerass ,0
terkecuali mata nya aga redup iya bebas ,0
ung keras buktinya orang asing demo ,0
penggemar berat ung hati2hukum rimba ,0
ung keras cipit2 jongos ,0
bawa uang ilmu ,1
lama2 beranak pinak deh negri tercinta negri cintailah ploduk ploduk indonesia wo ai ,1
negeri tercinta progres progres ,1
pemukiman permanen wrg indonesia tinggal rumah2 seng papan triplek pinggir sungai gerobak2 demo bikin ricuh negara simpan tenaganya pulang brjuang melawan talibanbknnya lari ,1
pinter nte fin ,1
lari afganistan penghianat antek antek amerika takut pejuang taliban ,0
tul ,0
seharus nya ungsikan wna korea utarapasti eksekusi langsung pakai golok ,0
uadah mujahidin taliban susah taklukanmakanya presiden nya lari warga negaranyamereka lari tu kebanykan berbedah keyakinan agamadn adapula keyakinan mengikuti hukum islam lihat selengkapnya ,0
usir mreka nkri polisi indonesia bukn negara tmpat mencari suaka rakyat indonesia sudh sngt mreka brani berunjuk indonesia dn mlawn petugas polisi sdangkn ppkm mreka lihat selengkapnya ,0
s7 ,0
butul indonesia covid bnyak rumah ,0
indonesia orang2 garis kerasteroris ditambah orang2 afganistan diatas perahu lepaskan dilaut negaranya biar afganistan teroris negaranya ,0
lucu orang ,0
wkwkw profesional usa korban usa dijajah eh ditinggal ditelantarkan kasihan banget sebaris suka teriak teroris sodara ,0
lihat keberanian kaum intelektual indonesia unhcr memanfaatkan isu afganistansehingga berani melalwan aparat status pengungsi tindakan berani salah ,1
maunya tinggal negara kapir australia ,1
bilang hatihati pengkhianat bangsa memanfaatkan situasi menunggangi ,0
iya true ,1
noduh g bolh klu g bukti pokonya pendtang bikin onar kembaliin negara nya ,0
tindakan aparat izinnya uu membolehkan wna demo indoneaia izin demo imigran asing negara tujuan ,1
cepat ngerusuh dimari datangnya yak tutup wna ,0
,0
lihat bikin tenda trotoar daerah kalideres ,0
anehnyaknpa ditolerir pemerintah kitasmentara ilegal ,0
za kaya rohingyadlo kta kebanjiran pengungsi vietnamdia australi cri kehidupan brunamun terdampar indoada wadahny urusan pengungsi unhcrcoba blajar pengungsi dunia ,0
pikirindonesia urusan dripda urusin bginian ,0
pemerintah sisi kemanusiaan hati banding ono noh ,0
